block_num,ss_num,button_resp_rt,button_resp_corr,trl,subj,group,betaAvgM,betaAvgD,betaAvgD_1,trl_1,rt_1,corr_1,ss_1
1,4,3.62414850015193,1,3,1,2,-3.27818411706902,-1.68047436515452,-1.52989257129479,2,4.87395539996214,1,1
1,2,1.55420359992422,0,4,1,2,-2.35158600782596,4.32004085556453,-1.68047436515452,3,3.62414850015193,1,4
1,4,1.58037079987116,1,7,1,2,-3.75143861559383,0.753761040325796,-6.95753606775446,6,1.44659499987029,1,1
1,1,1.45016839983873,1,8,1,2,-3.41495035961895,1.02535050769997,0.753761040325796,7,1.58037079987116,1,4
1,2,1.17513739992864,0,9,1,2,-1.98843690717135,-3.81088293742578,1.02535050769997,8,1.45016839983873,1,1
1,4,1.24676750018261,0,12,1,2,-1.17895488501371,-9.22644404437839,5.71357350427182,11,0.623612100025639,1,1
1,4,0.965321400202811,0,13,1,2,-2.59311825922499,1.79816078272692,-9.22644404437839,12,1.24676750018261,0,4
1,4,1.32607439998537,0,14,1,2,-1.4116735763665,-2.19124733672818,1.79816078272692,13,0.965321400202811,0,4
1,2,1.08233760017902,0,15,1,2,-1.7795340036699,-3.72350398166032,-2.19124733672818,14,1.32607439998537,0,4
1,2,0.894696500152349,1,16,1,2,-2.6374734281318,-4.54568643117625,-3.72350398166032,15,1.08233760017902,0,2
1,1,2.44632970006205,1,19,1,2,-2.9861772535052,-0.0241143588431742,-6.66403220727838,18,1.01950770011172,0,2
1,1,0.332106499932706,1,20,1,2,-1.68486270533293,3.30486338680211,-0.0241143588431742,19,2.44632970006205,1,1
1,1,1.32561250007711,1,21,1,2,-3.52540977090076,0.517018859973164,3.30486338680211,20,0.332106499932706,1,1
1,4,0.873704199912027,1,22,1,2,-4.90451312807177,-0.39116866256813,0.517018859973164,21,1.32561250007711,1,1
1,4,0.603623199975118,1,23,1,2,-4.43864920171135,-0.978596283523646,-0.39116866256813,22,0.873704199912027,1,4
1,1,0.627807799959555,1,24,1,2,-1.58737477593917,-1.39949759932051,-0.978596283523646,23,0.603623199975118,1,4
2,1,1.22788610006683,1,27,1,2,-2.20553672189965,0.630109773151523,1.20937966322063,26,0.749619300011545,1,4
2,1,1.68610620009713,1,28,1,2,-1.41360942942895,0.291123733899268,0.630109773151523,27,1.22788610006683,1,1
2,2,1.9785058000125,0,29,1,2,-4.41845035262187,2.81364236547382,0.291123733899268,28,1.68610620009713,1,1
2,4,0.749036399880424,1,30,1,2,-5.39359120568111,-0.416753780501482,2.81364236547382,29,1.9785058000125,0,2
2,1,1.18624860001728,1,31,1,2,-4.37374475350525,3.22487320317375,-0.416753780501482,30,0.749036399880424,1,4
2,4,0.748827199917287,1,35,1,2,-3.29377570203899,2.82225675349537,-1.35443006462616,34,1.06369979982264,0,2
2,2,1.18414920009673,1,36,1,2,-5.89443799174713,-5.44664023588373,2.82225675349537,35,0.748827199917287,1,4
2,2,0.920856700045988,1,37,1,2,-4.31774648719883,-4.46210809422078,-5.44664023588373,36,1.18414920009673,1,2
2,4,1.42987199989147,1,38,1,2,-4.86629064012984,1.01240441877622,-4.46210809422078,37,0.920856700045988,1,2
2,1,0.587652799906209,1,39,1,2,-4.39217821063794,0.381031749733284,1.01240441877622,38,1.42987199989147,1,4
2,1,0.721459100022912,1,40,1,2,-4.51612541320233,-2.86015207635031,0.381031749733284,39,0.587652799906209,1,1
2,2,0.999320400180295,1,41,1,2,-2.58051065502057,-0.948483869021784,-2.86015207635031,40,0.721459100022912,1,1
2,4,5.54612069996074,0,42,1,2,-2.72649359347777,-1.10897113662149,-0.948483869021784,41,0.999320400180295,1,2
2,1,0.762382499873638,1,45,1,2,-2.16956371129004,-1.60879253188761,-1.67879797876723,44,0.773512900108472,1,1
3,2,0.526219800114632,1,49,1,2,-3.71031514116116,-0.700916340495066,-6.66094831993394,48,2.30206050002016,0,4
3,1,0.54206410003826,1,50,1,2,-2.88495605943307,2.15863942944578,-0.700916340495066,49,0.526219800114632,1,2
3,2,0.669944999972358,1,51,1,2,-1.43372257995968,-0.600589062863684,2.15863942944578,50,0.54206410003826,1,1
3,1,0.541140499990433,1,52,1,2,-3.61779799121826,-1.04220035862451,-0.600589062863684,51,0.669944999972358,1,2
3,2,0.857864799909294,1,53,1,2,-3.24812032617511,-6.46586844492945,-1.04220035862451,52,0.541140499990433,1,1
3,4,1.80506170005538,1,56,1,2,-3.57298749255549,1.30072175096145,-3.33693500098237,55,0.605157499900088,1,2
3,4,4.87324219988659,1,57,1,2,-4.06026326286657,0.00711597483960753,1.30072175096145,56,1.80506170005538,1,4
3,4,2.57541170017794,0,58,1,2,-3.70084994623129,-0.845853532717305,0.00711597483960753,57,4.87324219988659,1,4
3,1,0.763348000124097,1,59,1,2,-4.29078224567522,-2.98649425751086,-0.845853532717305,58,2.57541170017794,0,4
3,2,1.35123160015792,1,60,1,2,-1.00650615050406,2.67200403196505,-2.98649425751086,59,0.763348000124097,1,1
3,2,0.962869899813086,1,61,1,2,-1.54841264943599,-0.925708585880458,2.67200403196505,60,1.35123160015792,1,2
