trial_type,onset,duration,weight
Image_loc3,1.5,3,1
Image_loc2,10.5,3,1
Image_loc2,19.5,3,1
Scrambled_loc3,27,3,1
Scrambled_loc3,37.5,3,1
Scrambled_loc3,45,3,1
Image_loc2,52.5,3,1
Image_loc3,61.5,3,1
Image_loc3,69,3,1
Scrambled_loc1,76.5,3,1
Image_loc2,84,3,1
Image_loc2,91.5,3,1
Image_loc1,102,3,1
Scrambled_loc1,111,3,1
Image_loc1,120,3,1
Image_loc3,127.5,3,1
Scrambled_loc1,135,3,1
Image_loc2,142.5,3,1
Image_loc3,150,3,1
Image_loc1,160.5,3,1
Image_loc3,169.5,3,1
Scrambled_loc3,178.5,3,1
Image_loc2,186,3,1
Image_loc3,195,3,1
Image_loc1,202.5,3,1
Image_loc2,211.5,3,1
Scrambled_loc2,219,3,1
Scrambled_loc2,226.5,3,1
Image_loc1,234,3,1
Scrambled_loc1,241.5,3,1
Image_loc2,252,3,1
Scrambled_loc1,259.5,3,1
Scrambled_loc2,268.5,3,1
Image_loc3,276,3,1
Image_loc1,283.5,3,1
Image_loc1,291,3,1
