trial_type,onset,duration,weight
Image_loc2,1.5,3,1
Image_loc1,12,3,1
Image_loc2,19.5,3,1
Scrambled_loc3,27,3,1
Image_loc3,36,3,1
Scrambled_loc3,43.5,3,1
Image_loc1,51,3,1
Image_loc2,58.5,3,1
Scrambled_loc1,67.5,3,1
Image_loc3,75,3,1
Image_loc3,82.5,3,1
Scrambled_loc2,90,3,1
Image_loc2,97.5,3,1
Image_loc3,105,3,1
Image_loc3,112.5,3,1
Scrambled_loc1,120,3,1
Image_loc1,127.5,3,1
Image_loc2,136.5,3,1
Image_loc2,145.5,3,1
Scrambled_loc2,153,3,1
Image_loc1,160.5,3,1
Image_loc1,168,3,1
Image_loc1,177,3,1
Scrambled_loc3,186,3,1
Image_loc2,196.5,3,1
Image_loc1,205.5,3,1
Image_loc1,213,3,1
Scrambled_loc3,222,3,1
Scrambled_loc1,229.5,3,1
Image_loc2,238.5,3,1
Image_loc3,247.5,3,1
Scrambled_loc1,255,3,1
Image_loc3,262.5,3,1
Scrambled_loc2,271.5,3,1
Image_loc2,279,3,1
Scrambled_loc3,289.5,3,1
