trial_type,onset,duration,weight
Image_loc2,1.5,3,1
Scrambled_loc3,12,3,1
Image_loc1,19.5,3,1
Scrambled_loc3,27,3,1
Image_loc2,34.5,3,1
Image_loc1,42,3,1
Image_loc1,49.5,3,1
Image_loc3,58.5,3,1
Scrambled_loc2,66,3,1
Image_loc3,73.5,3,1
Image_loc3,81,3,1
Scrambled_loc1,88.5,3,1
Image_loc2,97.5,3,1
Scrambled_loc3,106.5,3,1
Image_loc3,115.5,3,1
Image_loc1,124.5,3,1
Scrambled_loc3,132,3,1
Image_loc1,139.5,3,1
Image_loc3,147,3,1
Image_loc2,154.5,3,1
Image_loc1,162,3,1
Scrambled_loc2,171,3,1
Image_loc2,178.5,3,1
Image_loc1,187.5,3,1
Scrambled_loc3,198,3,1
Image_loc2,207,3,1
Scrambled_loc1,216,3,1
Image_loc2,223.5,3,1
Image_loc2,231,3,1
Scrambled_loc2,238.5,3,1
Scrambled_loc1,246,3,1
Image_loc2,253.5,3,1
Image_loc3,262.5,3,1
Scrambled_loc1,271.5,3,1
Image_loc1,280.5,3,1
Image_loc3,288,3,1
